author_id;first_name;last_name;full_name;google_scholar_ID;scopus_url;gender;position_detailed;position;institution;country;citations_gs;citations;citations_corrected;ML1_lab;ML2_lab;ML3_lab;comments
author.1;Abdolhossein;Abdollahi;Abdolhossein Abdollahi;;http://www.scopus.com/authid/detail.uri?authorId=25421522200;M;Associate Professor;Associate Professor;Islamic Azad University-Zarand;Iran;;316;;;;;
author.10;Attila;Ambrus;Attila Ambrus;;http://www.scopus.com/authid/detail.uri?authorId=36804950200;M;Professor;Professor;Duke University;USA;;130;;;;;
author.100;Rebecca N.;Eyre;Rebecca N. Eyre;;http://www.scopus.com/authid/detail.uri?authorId=23004152100;F;;Assistant;Harvard University;USA;;248;;;;;
author.101;Armin;Falk;Armin Falk;;http://www.scopus.com/authid/detail.uri?authorId=56257581700;M;Professor;Professor;University of Bonn;Germany;;4182;;;;;
author.102;Simon;Farrell;Simon Farrell;gpDeUjIAAAAJ;http://www.scopus.com/authid/detail.uri?authorId=7102735582;M;Future Fellow (?);Researcher;University of Western Australia;Australia;;1496;;;;;
author.103;Coreen;Farris;Coreen Farris;;http://www.scopus.com/authid/detail.uri?authorId=6701457067;F;Behavioral Scientist;Researcher;RAND Corporation;USA;;275;;;;;
author.104;Meghan;Fearn;Meghan Fearn;;http://www.scopus.com/authid/detail.uri?authorId=23479565300;F;;Assistant;University of Wisconsin;USA;;193;;;;;
author.105;Ernst;Fehr;Ernst Fehr;WoSILroAAAAJ;http://www.scopus.com/authid/detail.uri?authorId=56211794400;M;Professor;Professor;University of Zurich;Switzerland;;22239;;;;;
author.106;M. J.;Ferguson;M. J. Ferguson;Q7UuZOAAAAAJ;http://www.scopus.com/authid/detail.uri?authorId=7402593082;F;Professor;Professor;Cornell University;USA;;1603;;;;;
author.107;Klaus;Fiedler;Klaus Fiedler;;http://www.scopus.com/authid/detail.uri?authorId=7102213565;M;Professor;Professor;University of Heidelberg;Germany;;2855;;;;;
author.108;Eli J.;Finkel;Eli J. Finkel;kRbhk4oAAAAJ;http://www.scopus.com/authid/detail.uri?authorId=7005246359;M;Professor;Professor;Northwestern University;USA;;2784;;;;;
author.109;Peter;Fischer;Peter Fischer;;http://www.scopus.com/authid/detail.uri?authorId=56012060400;M;Professor;Professor;University of Regensburg;Germany;;653;;;;;
author.11;David M.;Amodio;David M. Amodio;;http://www.scopus.com/authid/detail.uri?authorId=6603573634;M;Associate Professor;Associate Professor;New York University;USA;;3608;;;;;
author.110;Ayelet;Fishbach;Ayelet Fishbach;vIQsasAAAAJ;http://www.scopus.com/authid/detail.uri?authorId=6603551816;F;Professor;Professor;University of Chicago;USA;;2546;;;;;
author.111;Gráinne M.;Fitzsimons;Gráinne M. Fitzsimons;;http://www.scopus.com/authid/detail.uri?authorId=7004227390;F;Associate Professor;Associate Professor;Duke University;USA;;1525;;;;;
author.112;Sara;Forti;Sara Forti;;http://www.scopus.com/authid/detail.uri?authorId=8729197800;F;;Assistant;IRCCS Eugenio Medea;Italy;;95;;;;;
author.113;Dan;Foti;Dan Foti;C0-GpEwAAAAJ;http://www.scopus.com/authid/detail.uri?authorId=23396594600;M;Assistant Professor;Assistant Professor;Purdue University;USA;;1203;;;;;
author.114;Dieter;Frey;Dieter Frey;;http://www.scopus.com/authid/detail.uri?authorId=7102907649;M;Professor;Professor;Ludwig-Maximilians University, Munich;Germany;;2762;;;;;
author.115;Daniel;Friedman;Daniel Friedman;sjjjZ8kAAAAJ;http://www.scopus.com/authid/detail.uri?authorId=7402079526;M;Professor;Professor;University of California, Santa Cruz;USA;;2140;;;;;
author.116;F De;Fruyt;F De Fruyt;aqL24tgAAAAJ;http://www.scopus.com/authid/detail.uri?authorId=7003352286;M;Professor;Professor;Ghent University;Belgium;;3351;;;;;
author.117;Drew;Fudenberg;Drew Fudenberg;XCo4OfoAAAAJ;http://www.scopus.com/authid/detail.uri?authorId=6604061536;M;Professor;Professor;Harvard University;USA;;3979;;;;;
author.118;Andreas;Fuster;Andreas Fuster;I9ZWMJ0AAAAJ;http://www.scopus.com/authid/detail.uri?authorId=35322554800;M;Research Officer;Researcher;Federal Reserve Bank of New York;USA;;115;;;;;
author.119;Jens;Förster;Jens Förster;V51Qj1wAAAAJ;http://www.scopus.com/authid/detail.uri?authorId=55723726000;M;Professor;Professor;Ruhr University Bochum;Germany;;3887;;;;;
author.12;C.;Anderson;C. Anderson;gUQRRH4AAAAJ;http://www.scopus.com/authid/detail.uri?authorId=7404307471;M;Associate Professor;Associate Professor;University of California, Berkeley;USA;;3156;;;;;
